"Accepted Symbol","Synonym Symbol","Scientific Name","Common Name","PLANTS Floristic Area","Duration","Image Gallery","Fact Sheets","Plant Guides","Characteristics Data","Active Growth Period","Flower Color","Nitrogen Fixation","Adapted to Coarse Textured Soils","Adapted to Medium Textured Soils","Adapted to Fine Textured Soils","CaCO<SUB>3</SUB> Tolerance","Cold Stratification Required","Drought Tolerance","Fertility Requirement","Moisture Use","pH (Minimum)","pH (Maximum)","Precipitation (Minimum)","Precipitation (Maximum)"
"ABCO","","Abies concolor","white fir","NA (L48)","Perennial","Photo","../factsheet/pdf/fs_abco.pdf","../plantguide/pdf/pg_abco.pdf","Yes","Spring and Summer","Red","None","Yes","Yes","No","Low","Yes","Medium","Medium","Medium","5.5","7.8","18","80"
"ACRU","","Acer rubrum","red maple","NA (L48, CAN)","Perennial","Photo","../factsheet/pdf/fs_acru.pdf","../plantguide/pdf/pg_acru.pdf","Yes","Spring and Summer","Red","None","Yes","Yes","Yes","High","No","Medium","Medium","High","4.7","7.3","25","80"
"ACSA2","","Acer saccharinum","silver maple","NA (L48, CAN)","Perennial","Photo","../factsheet/pdf/fs_acsa2.pdf","../plantguide/pdf/pg_acsa2.pdf","Yes","Spring and Summer","Yellow","None","Yes","Yes","Yes","Medium","No","Low","Low","Medium","4.0","7.3","20","70"
"ACMI2","","Achillea millefolium","common yarrow","NA (L48, AK, CAN, GL, SPM), HI","Perennial","Photo","../factsheet/pdf/fs_acmi2.pdf","../plantguide/pdf/cs_acmi2.pdf","Yes","Spring","White","None","No","Yes","No","Medium","No","Medium","Medium","Medium","6.0","8.0","8","60"
"ACMIO","","Achillea millefolium var. occidentalis","western yarrow","NA (L48, AK, CAN, GL, SPM)","Perennial","Photo","../factsheet/pdf/fs_acmio.pdf","../plantguide/pdf/pg_acmio.pdf","Yes","Spring","White","None","Yes","Yes","No","Medium","No","Medium","Low","Medium","6.0","8.0","8","26"
"AGSC","","Agastache scrophulariifolia","purple giant hyssop","NA (L48, CAN)","Perennial","","../factsheet/pdf/fs_agsc.pdf","../plantguide/pdf/pg_agsc.pdf","No","","","","","","","","","","","","","","",""
"AGCR","","Agropyron cristatum","crested wheatgrass","NA (L48, AK, CAN)","Perennial","Photo","../factsheet/pdf/fs_agcr.pdf","../plantguide/pdf/pg_agcr.pdf","Yes","Spring and Fall","Yellow","None","Yes","Yes","Yes","High","No","High","Low","Low","6.0","8.5","6","18"
"AGDE2","","Agropyron desertorum","desert wheatgrass","NA (L48)","Perennial","Photo","../factsheet/pdf/fs_agde2.pdf","../plantguide/pdf/pg_agde2.pdf","Yes","Spring and Fall","Yellow","None","Yes","Yes","Yes","High","No","High","Medium","Medium","6.0","8.5","6","24"
"AGFR","","Agropyron fragile","Siberian wheatgrass","NA (L48, CAN)","Perennial","Photo","../factsheet/pdf/fs_agfr.pdf","../plantguide/pdf/pg_agfr.pdf","Yes","Spring and Fall","Yellow","None","Yes","Yes","No","Medium","No","High","Low","Low","5.6","9.0","6","25"
"AGGI2","","Agrostis gigantea","redtop","NA (L48, AK, CAN, GL)","Perennial","Photo","../factsheet/pdf/fs_aggi2.pdf","../plantguide/pdf/pg_aggi2.pdf","Yes","Spring and Summer","Yellow","None","Yes","Yes","Yes","None","No","Medium","Medium","High","4.5","7.5","30","60"
"AMALS","","Amelanchier alnifolia var. semiintegrifolia","Saskatoon serviceberry","NA (L48, AK, CAN)","Perennial","Photo","../factsheet/pdf/fs_amals.pdf","../plantguide/pdf/pg_amals.pdf","Yes","Spring and Summer","White","None","Yes","Yes","Yes","Low","Yes","Low","Low","Low","6.2","7.5","20","50"
"AMUT","","Amelanchier utahensis","Utah serviceberry","NA (L48)","Perennial","Photo","../factsheet/pdf/fs_amut.pdf","../plantguide/pdf/pg_amut.pdf","Yes","Spring and Summer","White","None","Yes","Yes","Yes","High","No","High","Low","Medium","5.6","8.4","12","45"
"AMBR","","Ammophila breviligulata","American beachgrass","NA (L48, CAN, SPM)","Perennial","Photo","../factsheet/pdf/fs_ambr.pdf","../plantguide/pdf/pg_ambr.pdf","Yes","Spring, Summer, Fall","Yellow","None","Yes","Yes","No","Medium","No","Medium","High","Medium","5.5","7.9","35","60"
"AMCA6","","Amorpha canescens","leadplant","NA (L48, CAN)","Perennial","Photo","../factsheet/pdf/fs_amca6.pdf","../plantguide/pdf/pg_amca6.pdf","Yes","Spring and Summer","Purple","Medium","Yes","Yes","No","High","Yes","High","Low","Low","5.5","8.0","20","45"
"ANGE","","Andropogon gerardii","big bluestem","NA (L48, CAN)","Perennial","Photo","../factsheet/pdf/fs_ange.pdf","../plantguide/pdf/pg_ange.pdf","Yes","Summer","Yellow","None","Yes","Yes","Yes","High","No","High","Medium","Medium","6.5","7.5","12","30"
"ANHA","","Andropogon hallii","sand bluestem","NA (L48, CAN)","Perennial","Photo","../factsheet/pdf/fs_anha.pdf","../plantguide/pdf/pg_anha.pdf","Yes","Summer","Yellow","None","Yes","No","No","Low","No","High","High","Low","5.6","8.4","10","30"
